Name                                                                             Stmts   Miss  Cover
----------------------------------------------------------------------------------------------------
/home/bhav/.local/lib/python2.7/site-packages/MySQLdb/__init__.py                   46     15    67%
/home/bhav/.local/lib/python2.7/site-packages/MySQLdb/_exceptions.py                12      0   100%
/home/bhav/.local/lib/python2.7/site-packages/MySQLdb/compat.py                     12      5    58%
/home/bhav/.local/lib/python2.7/site-packages/MySQLdb/constants/FIELD_TYPE.py       29      0   100%
/home/bhav/.local/lib/python2.7/site-packages/MySQLdb/constants/__init__.py          1      0   100%
/home/bhav/.local/lib/python2.7/site-packages/MySQLdb/cursors.py                   259    195    25%
/home/bhav/.local/lib/python2.7/site-packages/MySQLdb/release.py                     3      0   100%
/home/bhav/.local/lib/python2.7/site-packages/MySQLdb/times.py                      76     55    28%
/home/bhav/.local/lib/python2.7/site-packages/babel/__init__.py                      3      0   100%
/home/bhav/.local/lib/python2.7/site-packages/babel/_compat.py                      51     22    57%
/home/bhav/.local/lib/python2.7/site-packages/babel/core.py                        290    186    36%
/home/bhav/.local/lib/python2.7/site-packages/babel/dates.py                       685    601    12%
/home/bhav/.local/lib/python2.7/site-packages/babel/localedata.py                  110     84    24%
/home/bhav/.local/lib/python2.7/site-packages/babel/localtime/__init__.py           40     15    63%
/home/bhav/.local/lib/python2.7/site-packages/babel/localtime/_unix.py              73     55    25%
/home/bhav/.local/lib/python2.7/site-packages/babel/numbers.py                     304    251    17%
/home/bhav/.local/lib/python2.7/site-packages/babel/plural.py                      278    181    35%
/home/bhav/.local/lib/python2.7/site-packages/babel/support.py                     254    162    36%
/home/bhav/.local/lib/python2.7/site-packages/babel/util.py                        152    102    33%
/home/bhav/.local/lib/python2.7/site-packages/click/__init__.py                     13      0   100%
/home/bhav/.local/lib/python2.7/site-packages/click/_compat.py                     433    287    34%
/home/bhav/.local/lib/python2.7/site-packages/click/_unicodefun.py                  71     47    34%
/home/bhav/.local/lib/python2.7/site-packages/click/core.py                        877    622    29%
/home/bhav/.local/lib/python2.7/site-packages/click/decorators.py                  147     86    41%
/home/bhav/.local/lib/python2.7/site-packages/click/exceptions.py                  115     80    30%
/home/bhav/.local/lib/python2.7/site-packages/click/formatting.py                  134    112    16%
/home/bhav/.local/lib/python2.7/site-packages/click/globals.py                      18      5    72%
/home/bhav/.local/lib/python2.7/site-packages/click/parser.py                      236    203    14%
